country_year;LOCATION;Country;SUBJECT;Subject;MEASURE;Measure;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags;year_min1;Value_min1
Australia1971Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1971;1971;PC;Percentage;0;Units;;;2.499541;;;1970;#N/A
Australia1972Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1972;1972;PC;Percentage;0;Units;;;2.200627;;;1971;2.499541
Australia1973Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1973;1973;PC;Percentage;0;Units;;;2.060367;;;1972;2.200627
Australia1974Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1974;1974;PC;Percentage;0;Units;;;-1.591796;;;1973;2.060367
Australia1975Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1975;1975;PC;Percentage;0;Units;;;3.701053;;;1974;-1.591796
Australia1976Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1976;1976;PC;Percentage;0;Units;;;1.66938;;;1975;3.701053
Australia1977Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1977;1977;PC;Percentage;0;Units;;;-0.112943;;;1976;1.66938
Australia1978Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1978;1978;PC;Percentage;0;Units;;;4.219059;;;1977;-0.112943
Australia1979Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1979;1979;PC;Percentage;0;Units;;;0.485305;;;1978;4.219059
Australia1980Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1980;1980;PC;Percentage;0;Units;;;1.07224;;;1979;0.485305
Australia1981Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1981;1981;PC;Percentage;0;Units;;;2.954958;;;1980;1.07224
Australia1982Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1982;1982;PC;Percentage;0;Units;;;1.250599;;;1981;2.954958
Australia1983Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1983;1983;PC;Percentage;0;Units;;;2.504506;;;1982;1.250599
Australia1984Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1984;1984;PC;Percentage;0;Units;;;2.187332;;;1983;2.504506
Australia1985Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1985;1985;PC;Percentage;0;Units;;;-0.182797;;;1984;2.187332
Australia1986Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1986;1986;PC;Percentage;0;Units;;;0.057092;;;1985;-0.182797
Australia1987Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1987;1987;PC;Percentage;0;Units;;;2.127497;;;1986;0.057092
Australia1988Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1988;1988;PC;Percentage;0;Units;;;-0.305442;;;1987;2.127497
Australia1989Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1989;1989;PC;Percentage;0;Units;;;0.326509;;;1988;-0.305442
Australia1990Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1990;1990;PC;Percentage;0;Units;;;-1.802614;;;1989;0.326509
Australia1991Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1991;1991;PC;Percentage;0;Units;;;2.28308;;;1990;-1.802614
Australia1992Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1992;1992;PC;Percentage;0;Units;;;3.059368;;;1991;2.28308
Australia1993Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1993;1993;PC;Percentage;0;Units;;;0.216918;;;1992;3.059368
Australia1994Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1994;1994;PC;Percentage;0;Units;;;0.173882;;;1993;0.216918
Australia1995Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1995;1995;PC;Percentage;0;Units;;;3.021748;;;1994;0.173882
Australia1996Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1996;1996;PC;Percentage;0;Units;;;3.51903;;;1995;3.021748
Australia1997Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1997;1997;PC;Percentage;0;Units;;;3.350537;;;1996;3.51903
Australia1998Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1998;1998;PC;Percentage;0;Units;;;3.280788;;;1997;3.350537
Australia1999Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1999;1999;PC;Percentage;0;Units;;;0.883157;;;1998;3.280788
Australia2000Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2000;2000;PC;Percentage;0;Units;;;1.024122;;;1999;0.883157
Australia2001Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2001;2001;PC;Percentage;0;Units;;;3.488574;;;2000;1.024122
Australia2002Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2002;2002;PC;Percentage;0;Units;;;1.391728;;;2001;3.488574
Australia2003Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2003;2003;PC;Percentage;0;Units;;;2.153562;;;2002;1.391728
Australia2004Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2004;2004;PC;Percentage;0;Units;;;-0.286707;;;2003;2.153562
Australia2005Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2005;2005;PC;Percentage;0;Units;;;0.410998;;;2004;-0.286707
Australia2006Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2006;2006;PC;Percentage;0;Units;;;0.578924;;;2005;0.410998
Australia2007Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2007;2007;PC;Percentage;0;Units;;;1.209118;;;2006;0.578924
Australia2008Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2008;2008;PC;Percentage;0;Units;;;3.515402;;;2007;1.209118
Australia2009Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2009;2009;PC;Percentage;0;Units;;;-0.966754;;;2008;3.515402
Australia2010Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2010;2010;PC;Percentage;0;Units;;;1.648461;;;2009;-0.966754
Australia2011Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2011;2011;PC;Percentage;0;Units;;;1.159838;;;2010;1.648461
Australia2012Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2012;2012;PC;Percentage;0;Units;;;2.425758;;;2011;1.159838
Australia2013Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2013;2013;PC;Percentage;0;Units;;;1.707388;;;2012;2.425758
Australia2014Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2014;2014;PC;Percentage;0;Units;;;0.602946;;;2013;1.707388
Australia2015Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2015;2015;PC;Percentage;0;Units;;;2.614428;;;2014;0.602946
Australia2016Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2016;2016;PC;Percentage;0;Units;;;-0.226207;;;2015;2.614428
Australia2017Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2017;2017;PC;Percentage;0;Units;;;1.093904;;;2016;-0.226207
Australia2018Annual growth/changeGDP per hour worked, constant prices ;AUS;Australia;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2018;2018;PC;Percentage;0;Units;;;0.624645;E;Estimated value;2017;1.093904
Turkey1971Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1971;1971;PC;Percentage;0;Units;;;4.246055;;;1970;#N/A
Turkey1972Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1972;1972;PC;Percentage;0;Units;;;4.951683;;;1971;4.246055
Turkey1973Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1973;1973;PC;Percentage;0;Units;;;1.805508;;;1972;4.951683
Turkey1974Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1974;1974;PC;Percentage;0;Units;;;3.770506;;;1973;1.805508
Turkey1975Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1975;1975;PC;Percentage;0;Units;;;6.711599;;;1974;3.770506
Turkey1976Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1976;1976;PC;Percentage;0;Units;;;9.814435;;;1975;6.711599
Turkey1977Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1977;1977;PC;Percentage;0;Units;;;1.042407;;;1976;9.814435
Turkey1978Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1978;1978;PC;Percentage;0;Units;;;0.988562;;;1977;1.042407
Turkey1979Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1979;1979;PC;Percentage;0;Units;;;-1.247735;;;1978;0.988562
Turkey1980Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1980;1980;PC;Percentage;0;Units;;;-3.287561;;;1979;-1.247735
Turkey1981Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1981;1981;PC;Percentage;0;Units;;;4.353405;;;1980;-3.287561
Turkey1982Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1982;1982;PC;Percentage;0;Units;;;2.883099;;;1981;4.353405
Turkey1983Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1983;1983;PC;Percentage;0;Units;;;4.370971;;;1982;2.883099
Turkey1984Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1984;1984;PC;Percentage;0;Units;;;8.726142;;;1983;4.370971
Turkey1985Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1985;1985;PC;Percentage;0;Units;;;1.087869;;;1984;8.726142
Turkey1986Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1986;1986;PC;Percentage;0;Units;;;5.95492;;;1985;1.087869
Turkey1987Annual growth/changeGDP per hour worked, constant prices ;TUR;Turkey;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1987;1987;PC;Percentage;0;Units;;;9.351028;;;1986;5.95492
