country_year;index_for_pop_infl;CO2;Country of birth/nationality;VAR;;Variable;GEN;Gender;COU;Country;YEA;Year;foreign_popul_stock;Flag Codes;Flags;year_min_1;country_year_min_1;foreign_popul_stock_min_1;foreign_popul_diff;foreign_popul_pct_change;For_pop_inflow;year_min2;country_year_min_2;foreign_popul_stock_min_2
Austria1962;Austria1962Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1962;1962;102000;;;1961;Austria1961;#N/A;#N/A;#N/A;#N/A;1960;Austria1960;#N/A
Austria1963;Austria1963Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1963;1963;102800;;;1962;Austria1962;102000;800;0.007843137;#N/A;1961;Austria1961;#N/A
Austria1964;Austria1964Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1964;1964;107200;;;1963;Austria1963;102800;4400;0.042801556;#N/A;1962;Austria1962;102000
Austria1965;Austria1965Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1965;1965;112800;;;1964;Austria1964;107200;5600;0.052238806;#N/A;1963;Austria1963;102800
Austria1966;Austria1966Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1966;1966;122000;;;1965;Austria1965;112800;9200;0.081560284;#N/A;1964;Austria1964;107200
Austria1967;Austria1967Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1967;1967;138100;;;1966;Austria1966;122000;16100;0.131967213;#N/A;1965;Austria1965;112800
Austria1968;Austria1968Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1968;1968;154900;;;1967;Austria1967;138100;16800;0.121650978;#N/A;1966;Austria1966;122000
Austria1969;Austria1969Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1969;1969;158300;;;1968;Austria1968;154900;3400;0.021949645;#N/A;1967;Austria1967;138100
Austria1970;Austria1970Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1970;1970;161800;;;1969;Austria1969;158300;3500;0.022109918;#N/A;1968;Austria1968;154900
Austria1971;Austria1971Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1971;1971;183000;;;1970;Austria1970;161800;21200;0.131025958;#N/A;1969;Austria1969;158300
Austria1972;Austria1972Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1972;1972;219700;;;1971;Austria1971;183000;36700;0.200546448;#N/A;1970;Austria1970;161800
Austria1973;Austria1973Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1973;1973;263000;;;1972;Austria1972;219700;43300;0.197086937;#N/A;1971;Austria1971;183000
Austria1974;Austria1974Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1974;1974;303000;;;1973;Austria1973;263000;40000;0.152091255;#N/A;1972;Austria1972;219700
Austria1975;Austria1975Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1975;1975;311700;;;1974;Austria1974;303000;8700;0.028712871;#N/A;1973;Austria1973;263000
Austria1976;Austria1976Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1976;1976;285800;;;1975;Austria1975;311700;-25900;-0.083092717;#N/A;1974;Austria1974;303000
Austria1977;Austria1977Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1977;1977;273100;;;1976;Austria1976;285800;-12700;-0.044436669;#N/A;1975;Austria1975;311700
Austria1978;Austria1978Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1978;1978;280500;;;1977;Austria1977;273100;7400;0.027096302;#N/A;1976;Austria1976;285800
Austria1979;Austria1979Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1979;1979;280700;;;1978;Austria1978;280500;200;0.000713012;#N/A;1977;Austria1977;273100
Austria1980;Austria1980Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1980;1980;276500;;;1979;Austria1979;280700;-4200;-0.014962594;#N/A;1978;Austria1978;280500
Austria1981;Austria1981Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1981;1981;282700;;;1980;Austria1980;276500;6200;0.022423146;#N/A;1979;Austria1979;280700
Austria1982;Austria1982Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1982;1982;303700;;;1981;Austria1981;282700;21000;0.074283693;#N/A;1980;Austria1980;276500
Austria1983;Austria1983Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1983;1983;308400;;;1982;Austria1982;303700;4700;0.015475798;#N/A;1981;Austria1981;282700
Austria1984;Austria1984Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1984;1984;296000;;;1983;Austria1983;308400;-12400;-0.040207523;#N/A;1982;Austria1982;303700
Austria1985;Austria1985Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1985;1985;295700;;;1984;Austria1984;296000;-300;-0.001013514;#N/A;1983;Austria1983;308400
Austria1986;Austria1986Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1986;1986;300500;;;1985;Austria1985;295700;4800;0.016232668;#N/A;1984;Austria1984;296000
Austria1987;Austria1987Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1987;1987;308800;;;1986;Austria1986;300500;8300;0.027620632;#N/A;1985;Austria1985;295700
Austria1988;Austria1988Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1988;1988;317900;;;1987;Austria1987;308800;9100;0.029468912;#N/A;1986;Austria1986;300500
Austria1989;Austria1989Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1989;1989;333300;;;1988;Austria1988;317900;15400;0.048442907;#N/A;1987;Austria1987;308800
Austria1990;Austria1990Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1990;1990;372000;;;1989;Austria1989;333300;38700;0.116111611;#N/A;1988;Austria1988;317900
Austria1991;Austria1991Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1991;1991;433700;;;1990;Austria1990;372000;61700;0.165860215;#N/A;1989;Austria1989;333300
Austria1992;Austria1992Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1992;1992;507900;;;1991;Austria1991;433700;74200;0.171086004;#N/A;1990;Austria1990;372000
Austria1993;Austria1993Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1993;1993;587433;;;1992;Austria1992;507900;79533;0.156591849;#N/A;1991;Austria1991;433700
Austria1994;Austria1994Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1994;1994;645832;;;1993;Austria1993;587433;58399;0.099413891;#N/A;1992;Austria1992;507900
Austria1995;Austria1995Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1995;1995;669453;;;1994;Austria1994;645832;23621;0.036574527;#N/A;1993;Austria1993;587433
